sno,date,street,postal code,city,extra
310,25/04/2019,KONSTYTUCJI 3 MAJA 82,OZORKÓW,95-035,
311,26/04/2019,"ul. Graniczna 9, Tomaszów Mazowiecki",,Tomaszów Mazowiecki,
312,26/04/2019,"ul. 3 maja 2, Skierniewice",,Skierniewice,
313,27/04/2019,"pl. Sienkiewicza 2, Turek",,Turek,
314,26/04/2019,ul. Piotrkowska 126,90-062,Łódź,
315,29/04/2019,UL. ŁOKIETKA 2A,98-200,SIERADZ,
316,29/04/2019,AL. POLITECHNIKI 3A,90-924,ŁÓDŹ,
317,29/04/2019,UL. KSAWEROWSKA 7,95-200,PABIANICE,
318,29/04/2019,UL. KONSTANTYNOWSKA 5-7,95-070,ALEKSANDRÓW ŁÓDZKI,
319,29/04/2019,"ul. Kostromska 51, Piotrków Trybunalski",,Piotrków Trybunalski,
320,29/04/2019,Wojska Polskiego 71,"95-070",Aleksandrów Łódzki,
321,29/04/2019,Żwirki 3/2,90-448,Łódź,
322,29/04/2019,ul. Żwirki 3,90-448,Łódź,
324,29/04/2019,BIAŁA PARCELA 2,BIAŁA PARCELA,98-350,
325,29/04/2019,RYCHŁOWICE 34A,98-300,WIELUŃ,
326,29/04/2019,3 Maja 7,98-300,Wielun,
327,29/04/2019,OKONIOWA 6 LOK.6,91-498,ŁÓDŹ,
328,30/04/2019,al.. 3 Maja 14,97-300,Piotrkow Trybunalski,
329,30/04/2019,Al. Piłsudskiego 94 CH Tulipan,92-202,Łódź,
330,30/04/2019,al.. Piłsudskiego 92,,Łódź,
331,30/04/2019,ul. Rokicińska 190,,Łódź,
332,05/05/2019,23 sierpnia 1,,Dębica,
333,05/05/2019,ul. Rzeszowska 129A,97-300,Dębica,
334,06/05/2019,ul. Wyszyńskiego 27,,Łódź,
335,06/05/2019,UL. WRÓBLEWSKIEGO 68,94-035,ŁÓDŹ,
336,06/05/2019,NAWROT 2A,90-060,Łódź,
337,06/05/2019,PIOTRKOWSKA 317 LOK. 140,93-035,Łódź,
338,06/05/2019,WIĘCKOWSKIEGO 9/2U,90-411,Łódź,
339,06/05/2019,HALA BALUCKI RYNEK 243,91-445,Łódź,
340,06/05/2019,NOWE SADY 23,94-102,ŁÓDŹ,
341,06/05/2019,DĄBROWSKIEGO 238,93-231,ŁÓDŹ,
342,06/05/2019,ul. Franciszkańska 51-19,91-815,ŁÓDŹ,
343,07/05/2019,MAŁACHOWSKIEGO 1 B,95-035,OZORKÓW,
344,07/05/2019,MAŁACHOWSKIEGO 2 A,95-035,OZORKÓW,
345,07/05/2019,MAŁACHOWSKIEGO 2 BC,95-035,OZORKÓW,
346,07/05/2019,OKONIOWA 6 LOK.6,91-498,ŁÓDŹ,
347,07/05/2019,"ul. 20 stycznia 58, Pabianice",,PABIANICE,
348,08/05/2019,UL. CZERNIKA 10,92-543,ŁÓDŹ,
349,08/05/2019,BARTOKA 43,92-540,ŁÓDŹ,
350,08/05/2019,Wojska Polskiego 71,"95-070",Aleksandrów Łódzki,
351,08/05/2019,ul. Elsnera 19,92-504,Łódź,
352,08/05/2019,"ul. Kaliska 48, Nowe Skalmierzyce",,Nowe Skalmierzyce,
353,09/05/2019,ul. Rokicińska 190,,Łódź,
354,09/05/2019,AL. PILSUDSKIEGO 94,92-202,LODZ,
355,09/05/2019,CHEŁMOŃSKIEGO 21,99-400,ŁOWICZ,
356,09/05/2019,KOCIERZEW POLUDNIOWY 85,99-414,KOCIERZEW,
357,09/05/2019,KATOWICKA 14,96-200,RAWA MAZOWIECKA,
358,09/05/2019,SZKOLNA 14B,95-054,KSAWERÓW,
359,09/05/2019,Moniuszki 1,26-300,Opoczno,
360,10/05/2019,UL. NOWY ŚWIAT 26B,97-400,BEŁCHATÓW,
361,10/05/2019,KOLEJOWA 6,97-400,BEŁCHATÓW,
362,10/05/2019,PL. STARY RYNEK 9,95-200,PABIANICE,
363,10/05/2019,ZAMENHOFA 3,98-300,WIELUŃ,
364,10/05/2019,3 Maja 7,98-300,Wielun,
365,11/05/2019,Adres w Uwagach,97-561,ŁADZICE,
366,13/05/2019,UL. WOJSKA POLSKIEGO 32/34,95-070,ALEKSANDRÓW,
367,13/05/2019,UL. PIŁSUDSKIEGO 19,90-505,KONSTANTYNÓW ŁÓDZKI,
368,13/05/2019,UL. SKARGI 6,40-091,KATOWICE,
369,13/05/2019,J. KARSKIEGO 5,91-071,ŁÓDŹ,
370,13/05/2019,AL. PIŁSUDSKIEGO 15 LOK. 23,90-307,ŁÓDŹ,
371,13/05/2019,PABIANICKA 245,93-457,ŁÓDŹ,
372,13/05/2019,Śniardwy 8 A,02-695,WARSZAWA,
373,13/05/2019,Dąbrowskiego 88,02-571,Warszawa,
374,13/05/2019,ROLNA 6,97-500,RADOMSKO,
375,13/05/2019,UL. RADOMSZCZAŃSKA 30,97-500,KIETLIN,
376,13/05/2019,Wojska Polskiego 71,"95-070",Aleksandrów Łódzki,
377,13/05/2019,UL. ROJNA 41 PAWILON 60,91-134,ŁÓDŹ,
379,13/05/2019,ZŁOCIENIOWA 33a,91-358,Łódź,
380,13/05/2019,"Gdańska 126/128",90-520,"ŁÓDŹ",
381,14/05/2019,IGNACÓW 44,97-340,ROZPRZA,
382,14/05/2019,GŁÓWNA 41,97-410,KLESZCZÓW,
383,14/05/2019,al.. 3 Maja 14,97-300,Piotrkow Trybunalski,
384,15/05/2019,UL. PIOTRKOWSKA 90,90-103,ŁÓDŹ,
385,15/05/2019,UL. RZGOWSKA 80/82,93-148,ŁÓDŹ,
386,15/05/2019,UL. ŁASKA 72,95-200,PABIANICE,
387,15/05/2019,Armii Krajowej 9,97-300,Piotrkow Tryb.,
388,15/05/2019,Zamenhofa 2,90-431,lodz,
389,15/05/2019,Zachodnia 105,90-723,Łódź,
390,15/05/2019,Św.Teresy od Dz. Jezus 100,91-341,Łódź,
391,16/05/2019,UL. ROKICIŃSKA 108,97-221,ŁAZNOWSKA WOLA,
392,16/05/2019,UL. IGNACEGO MOŚCICKIEGO 4,97-200,TOMASZÓW MAZOWIECKI,
393,16/05/2019,UL. ZELAZNA 59A,00-848,WARSZAWA,
394,16/05/2019,Solidarnosci 1A,96-200,Rawa Maz.,
395,16/05/2019,CHLEWO 18,98-215,CHLEWO,
396,16/05/2019,"ul. Bogumiła 64, Koło",,Koło,
397,16/05/2019,"ul. Gminna 10, Łyszkowice",,Łyszkowice,
398,16/05/2019,ul. Wojska Polskiego 62,,Aleksandrów Łódzki,
399,17/05/2019,UL. PIOTROWSKIEGO 43,28-130,STOPNICA,
400,17/05/2019,ŚW. AL. CHMIELOWSKIEGO 20,97-400,BEŁCHATÓW,
401,17/05/2019,Św.Teresy od Dziec Jezus 100,91-222,Łódź,
402,17/05/2019,ul. Warecka 14,,Łódź,
